Date,Kw,WTag,Cases,Deaths
242,38,6,199284,199511
243,39,0,199511,199867
244,39,1,199867,200788
245,39,2,200788,201887
246,39,3,201887,202800
247,39,4,202800,203752
248,39,5,203752,204492
249,39,6,204492,204758
250,40,0,204758,205074
251,40,1,205074,205988
252,40,2,205988,206935
253,40,3,206935,207793
254,40,4,207793,208700
255,40,5,208700,209387
256,40,6,209387,209724
257,41,0,209724,210184
258,41,1,210184,210889
259,41,2,210889,211804
260,41,3,211804,212765
261,41,4,212765,213755
262,41,5,213755,214373
263,41,6,214373,214771
264,42,0,214771,215088
265,42,1,215088,215890
266,42,2,215890,216875
267,42,3,216875,217695
268,42,4,217695,218578
269,42,5,218578,219289
270,42,6,219289,219677
271,43,0,219677,220122
272,43,1,220122,221055
273,43,2,221055,222180
274,43,3,222180,223036
275,43,4,223036,223983
276,43,5,223983,224897
277,43,6,224897,225237
278,44,0,225237,225714
279,44,1,225714,226700
280,44,2,226700,227689
281,44,3,227689,228660
282,44,4,228660,229690
283,44,5,229690,230598
284,44,6,230598,230999
285,45,0,230999,231490
286,45,1,231490,232620
287,45,2,232620,233717
288,45,3,233717,234927
