1970-12-31,0,401679,382934,784613
1970-12-31,1,448827,427427,876254
1970-12-31,2,483801,460014,943815
1970-12-31,3,504306,480476,984782
1970-12-31,4,518807,494128,1012935
1970-12-31,5,520701,494477,1015178
1970-12-31,6,531377,504548,1035925
1970-12-31,7,524231,499258,1023489
1970-12-31,8,505021,480673,985694
1970-12-31,9,502342,478820,981162
1970-12-31,10,485587,462655,948242
1970-12-31,11,474943,449530,924473
1970-12-31,12,453733,429366,883099
1970-12-31,13,445000,421625,866625
1970-12-31,14,429208,407521,836729
1970-12-31,15,414574,392218,806792
1970-12-31,16,417036,398010,815046
1970-12-31,17,403805,386152,789957
1970-12-31,18,413332,393543,806875
1970-12-31,19,409147,393738,802885
1970-12-31,20,419966,405752,825718
1970-12-31,21,429275,406559,835834
1970-12-31,22,410415,389636,800051
1970-12-31,23,392317,371232,763549
1970-12-31,24,368837,345595,714432
1970-12-31,25,320128,297694,617822
1970-12-31,26,419426,392948,812374
1970-12-31,27,432147,399825,831972
1970-12-31,28,429324,390756,820080
1970-12-31,29,519109,474420,993529
1970-12-31,30,565680,513838,1079518
1970-12-31,31,557881,507609,1065490
1970-12-31,32,527776,480218,1007994
1970-12-31,33,498541,453537,952078
1970-12-31,34,493768,450742,944510
1970-12-31,35,482928,441688,924616
1970-12-31,36,458425,416855,875280
1970-12-31,37,378777,343596,722373
1970-12-31,38,379914,350331,730245
1970-12-31,39,391213,362839,754052
1970-12-31,40,419157,391057,810214
1970-12-31,41,411287,385990,797277
1970-12-31,42,418672,394267,812939
1970-12-31,43,380301,386602,766903
1970-12-31,44,359169,404408,763577
1970-12-31,45,348134,423990,772124
1970-12-31,46,309577,417060,726637
1970-12-31,47,306596,418206,724802
1970-12-31,48,325669,440241,765910
1970-12-31,49,337581,464994,802575
1970-12-31,50,331185,468588,799773
1970-12-31,51,257033,359215,616248
1970-12-31,52,173856,242041,415897
1970-12-31,53,169241,233116,402357
1970-12-31,54,185453,257822,443275
1970-12-31,55,241162,340131,581293
1970-12-31,56,304821,434265,739086
1970-12-31,57,316415,439367,755782
1970-12-31,58,324839,445910,770749
1970-12-31,59,309027,424800,733827
1970-12-31,60,310650,436345,746995
1970-12-31,61,317683,440182,757865
1970-12-31,62,311081,434004,745085
1970-12-31,63,308493,419254,727747
1970-12-31,64,296871,410021,706892
1970-12-31,65,298739,388924,687663
1970-12-31,66,290288,382429,672717
1970-12-31,67,269606,361535,631141
1970-12-31,68,261171,359514,620685
1970-12-31,69,243456,342280,585736
1970-12-31,70,221682,318982,540664
1970-12-31,71,196939,302306,499245
1970-12-31,72,175587,289649,465236
1970-12-31,73,153549,266484,420033
1970-12-31,74,138520,254637,393157
1970-12-31,75,120504,229936,350440
1970-12-31,76,107047,212012,319059
1970-12-31,77,98353,193675,292028
1970-12-31,78,86340,170820,257160
1970-12-31,79,79101,155111,234212
1970-12-31,80,68194,133151,201345
1970-12-31,81,59635,117772,177407
1970-12-31,82,52799,101883,154682
1970-12-31,83,44858,86170,131028
1970-12-31,84,36634,70638,107272
1970-12-31,85,131362,246976,378338
1971-12-31,0,391188,371639,762827
1971-12-31,1,401467,383193,784660
1971-12-31,2,451548,430014,881562
1971-12-31,3,487588,463299,950887
1971-12-31,4,507908,483477,991385
1971-12-31,5,522301,497042,1019343
1971-12-31,6,523498,496931,1020429
1971-12-31,7,533763,506975,1040738
1971-12-31,8,526773,501543,1028316
1971-12-31,9,507740,483095,990835
1971-12-31,10,504993,481259,986252
1971-12-31,11,488584,465430,954014
1971-12-31,12,477830,452090,929920
1971-12-31,13,456348,431719,888067
1971-12-31,14,448238,424454,872692
1971-12-31,15,435637,411316,846953
1971-12-31,16,421064,396248,817312
1971-12-31,17,422275,402751,825026
1971-12-31,18,411500,393573,805073
1971-12-31,19,420710,403090,823800
1971-12-31,20,411563,402319,813882
1971-12-31,21,429285,414138,843423
1971-12-31,22,441414,414077,855491
1971-12-31,23,424178,397073,821251
1971-12-31,24,405589,377576,783165
1971-12-31,25,379324,351106,730430
1971-12-31,26,329595,302627,632222
1971-12-31,27,427453,397125,824578
1971-12-31,28,438853,403339,842192
1971-12-31,29,436944,394057,831001
1971-12-31,30,525186,477394,1002580
1971-12-31,31,571736,516696,1088432
1971-12-31,32,563446,510261,1073707
1971-12-31,33,532985,482676,1015661
1971-12-31,34,503239,455616,958855
1971-12-31,35,498114,452842,950956
1971-12-31,36,485627,443359,928986
1971-12-31,37,461212,418350,879562
1971-12-31,38,382206,344948,727154
1971-12-31,39,382624,351584,734208
1971-12-31,40,393036,363838,756874
1971-12-31,41,420678,391938,812616
1971-12-31,42,411986,386516,798502
1971-12-31,43,418944,394671,813615
1971-12-31,44,380566,386655,767221
1971-12-31,45,358964,404371,763335
1971-12-31,46,347536,423537,771073
1971-12-31,47,308820,416579,725399
1971-12-31,48,305572,417431,723003
1971-12-31,49,324364,439063,763427
1971-12-31,50,335596,463599,799195
1971-12-31,51,328991,467001,795992
1971-12-31,52,255160,357946,613106
1971-12-31,53,172323,241056,413379
1971-12-31,54,167610,232125,399735
1971-12-31,55,183528,256756,440284
1971-12-31,56,238393,338356,576749
1971-12-31,57,300852,431817,732669
1971-12-31,58,311649,436651,748300
1971-12-31,59,319550,442806,762356
1971-12-31,60,303276,421968,725244
1971-12-31,61,304238,433377,737615
1971-12-31,62,310482,436533,747015
1971-12-31,63,303113,429563,732676
1971-12-31,64,299891,414338,714229
1971-12-31,65,287704,404519,692223
1971-12-31,66,288749,383079,671828
1971-12-31,67,279422,375623,655045
