Jahr,Kw,AgeGroup,Count,CumulatedCount
2020,26,10,119,2518
2020,26,15,160,5626
2020,26,20,289,12409
2020,26,25,316,14277
2020,26,30,270,13608
2020,26,35,240,12103
2020,26,40,211,12159
2020,26,45,214,14180
2020,26,50,241,19053
2020,26,55,237,17895
2020,26,60,167,12264
2020,26,65,106,7619
2020,26,70,80,6406
2020,26,75,82,7650
2020,26,80,112,8793
2020,26,85,85,6458
2020,26,90,72,5194
2020,27,0,107,2001
2020,27,5,99,1956
2020,27,10,103,2621
2020,27,15,160,5786
2020,27,20,229,12638
2020,27,25,223,14500
2020,27,30,206,13814
2020,27,35,156,12259
2020,27,40,176,12335
2020,27,45,161,14341
2020,27,50,150,19203
2020,27,55,142,18037
2020,27,60,106,12370
2020,27,65,60,7679
2020,27,70,47,6453
2020,27,75,58,7708
2020,27,80,76,8869
2020,27,85,51,6509
2020,27,90,42,5236
2020,28,0,110,2111
2020,28,5,123,2079
2020,28,10,119,2740
2020,28,15,111,5897
2020,28,20,249,12887
2020,28,25,243,14743
2020,28,30,224,14038
2020,28,35,194,12453
2020,28,40,157,12492
2020,28,45,145,14486
2020,28,50,146,19349
2020,28,55,134,18171
2020,28,60,91,12461
2020,28,65,51,7730
2020,28,70,40,6493
2020,28,75,46,7754
2020,28,80,62,8931
2020,28,85,51,6560
2020,28,90,46,5282
2020,29,0,159,2270
2020,29,5,176,2255
2020,29,10,192,2932
2020,29,15,240,6137
2020,29,20,379,13266
2020,29,25,391,15134
2020,29,30,412,14450
2020,29,35,384,12837
2020,29,40,453,12945
2020,29,45,375,14861
2020,29,50,317,19666
2020,29,55,186,18357
2020,29,60,122,12583
2020,29,65,69,7799
2020,29,70,58,6551
2020,29,75,65,7819
2020,29,80,62,8993
2020,29,85,47,6607
2020,29,90,37,5319
2020,30,0,135,2405
2020,30,5,138,2393
2020,30,10,146,3078
2020,30,15,169,6306
2020,30,20,260,13526
2020,30,25,326,15460
2020,30,30,332,14782
2020,30,35,299,13136
2020,30,40,273,13218
2020,30,45,278,15139
2020,30,50,268,19934
2020,30,55,203,18560
2020,30,60,107,12690
2020,30,65,66,7865
2020,30,70,40,6591
2020,30,75,57,7876
2020,30,80,51,9044
2020,30,85,33,6640
2020,30,90,28,5347
2020,31,0,141,2546
2020,31,5,123,2516
2020,31,10,105,3183
2020,31,15,138,6444
2020,31,20,258,13784
2020,31,25,315,15775
2020,31,30,257,15039
2020,31,35,226,13362
2020,31,40,214,13432
2020,31,45,220,15359
2020,31,50,186,20120
2020,31,55,155,18715
2020,31,60,111,12801
2020,31,65,62,7927
2020,31,70,37,6628
2020,31,75,40,7916
2020,31,80,49,9093
2020,31,85,28,6668
2020,31,90,24,5371
2020,32,0,147,2693
2020,32,5,115,2631
2020,32,10,103,3286
2020,32,15,150,6594
2020,32,20,237,14021
2020,32,25,227,16002
2020,32,30,259,15298
2020,32,35,204,13566
2020,32,40,190,13622
2020,32,45,181,15540
2020,32,50,173,20293
2020,32,55,116,18831
2020,32,60,93,12894
2020,32,65,62,7989
2020,32,70,56,6684
2020,32,75,40,7956
2020,32,80,36,9129
2020,32,85,20,6688
2020,32,90,15,5386
2020,33,0,140,2833
2020,33,5,136,2767
2020,33,10,148,3434
2020,33,15,191,6785
2020,33,20,300,14321
2020,33,25,308,16310
2020,33,30,298,15596
2020,33,35,251,13817
2020,33,40,251,13873
2020,33,45,232,15772
2020,33,50,208,20501
2020,33,55,177,19008
2020,33,60,110,13004
2020,33,65,71,8060
2020,33,70,62,6746
2020,33,75,44,8000
2020,33,80,38,9167
2020,33,85,24,6712
2020,33,90,27,5413
2020,34,0,161,2994
2020,34,5,151,2918
2020,34,10,191,3625
2020,34,15,247,7032
2020,34,20,378,14699
2020,34,25,409,16719
2020,34,30,383,15979
2020,34,35,358,14175
2020,34,40,321,14194
2020,34,45,335,16107
2020,34,50,294,20795
2020,34,55,241,19249
2020,34,60,152,13156
2020,34,65,85,8145
2020,34,70,63,6809
2020,34,75,57,8057
2020,34,80,51,9218
2020,34,85,34,6746
2020,34,90,17,5430
2020,35,0,150,3144
2020,35,5,198,3116
2020,35,10,251,3876
2020,35,15,364,7396
2020,35,20,521,15220
2020,35,25,510,17229
2020,35,30,423,16402
2020,35,35,383,14558
2020,35,40,429,14623
2020,35,45,385,16492
2020,35,50,350,21145
2020,35,55,287,19536
2020,35,60,152,13308
2020,35,65,86,8231
2020,35,70,89,6898
2020,35,75,71,8128
2020,35,80,90,9308
2020,35,85,41,6787
2020,35,90,39,5469
2020,36,0,189,3333
2020,36,5,285,3401
2020,36,10,364,4240
2020,36,15,542,7938
2020,36,20,745,15965
2020,36,25,607,17836
2020,36,30,515,16917
2020,36,35,515,15073
2020,36,40,489,15112
2020,36,45,457,16949
2020,36,50,417,21562
2020,36,55,307,19843
2020,36,60,204,13512
2020,36,65,121,8352
2020,36,70,91,6989
2020,36,75,55,8183
2020,36,80,69,9377
2020,36,85,40,6827
2020,36,90,28,5497
2020,37,0,276,3609
2020,37,5,408,3809
2020,37,10,544,4784
2020,37,15,742,8680
2020,37,20,1165,17130
2020,37,25,838,18674
2020,37,30,700,17617
2020,37,35,643,15716
2020,37,40,639,15751
2020,37,45,575,17524
2020,37,50,473,22035
2020,37,55,326,20169
2020,37,60,192,13704
2020,37,65,110,8462
2020,37,70,79,7068
2020,37,75,71,8254
2020,37,80,81,9458
2020,37,85,56,6883
2020,37,90,25,5522
2020,38,0,283,3892
2020,38,5,380,4189
2020,38,10,577,5361
2020,38,15,880,9560
2020,38,20,1544,18674
2020,38,25,1195,19869
2020,38,30,945,18562
2020,38,35,759,16475
2020,38,40,715,16466
2020,38,45,695,18219
2020,38,50,560,22595
2020,38,55,429,20598
2020,38,60,237,13941
2020,38,65,121,8583
2020,38,70,96,7164
2020,38,75,67,8321
2020,38,80,64,9522
2020,38,85,23,6906
2020,38,90,18,5540
2020,39,0,223,4115
2020,39,5,353,4542
2020,39,10,483,5844
2020,39,15,834,10394
2020,39,20,1328,20002
2020,39,25,1221,21090
2020,39,30,858,19420
2020,39,35,716,17191
2020,39,40,660,17126
2020,39,45,602,18821
2020,39,50,538,23133
2020,39,55,354,20952
2020,39,60,244,14185
2020,39,65,130,8713
2020,39,70,92,7256
2020,39,75,69,8390
2020,39,80,50,9572
2020,39,85,33,6939
2020,39,90,29,5569
2020,40,0,227,4342
2020,40,5,318,4860
2020,40,10,430,6274
2020,40,15,770,11164
2020,40,20,1250,21252
2020,40,25,1158,22248
2020,40,30,939,20359
2020,40,35,649,17840
2020,40,40,646,17772
2020,40,45,614,19435
2020,40,50,551,23684
2020,40,55,393,21345
2020,40,60,248,14433
2020,40,65,127,8840
2020,40,70,106,7362
2020,40,75,75,8465
2020,40,80,60,9632
2020,40,85,25,6964
2020,40,90,24,5593
2020,41,0,226,4568
2020,41,5,325,5185
2020,41,10,498,6772
2020,41,15,831,11995
2020,41,20,1285,22537
2020,41,25,1230,23478
2020,41,30,939,21298
2020,41,35,701,18541
2020,41,40,687,18459
2020,41,45,693,20128
2020,41,50,670,24354
2020,41,55,556,21901
2020,41,60,338,14771
2020,41,65,225,9065
2020,41,70,151,7513
2020,41,75,147,8612
2020,41,80,133,9765
2020,41,85,85,7049
2020,41,90,45,5638
2020,42,0,291,4859
2020,42,5,355,5540
2020,42,10,518,7290
2020,42,15,1041,13036
2020,42,20,1518,24055
2020,42,25,1483,24961
2020,42,30,1208,22506
2020,42,35,902,19443
2020,42,40,844,19303
2020,42,45,876,21004
2020,42,50,897,25251
2020,42,55,762,22663
2020,42,60,492,15263
2020,42,65,290,9355
2020,42,70,259,7772
2020,42,75,181,8793
2020,42,80,195,9960
2020,42,85,103,7152
2020,42,90,74,5712
2020,43,0,301,5160
2020,43,5,388,5928
2020,43,10,585,7875
2020,43,15,1045,14081
2020,43,20,1584,25639
2020,43,25,1439,26400
2020,43,30,1301,23807
2020,43,35,1007,20450
2020,43,40,860,20163
2020,43,45,897,21901
2020,43,50,996,26247
2020,43,55,865,23528
2020,43,60,542,15805
2020,43,65,305,9660
2020,43,70,265,8037
2020,43,75,232,9025
2020,43,80,212,10172
2020,43,85,121,7273
2020,43,90,94,5806
2020,44,0,325,5485
2020,44,5,432,6360
2020,44,10,709,8584
2020,44,15,1329,15410
2020,44,20,1743,27382
2020,44,25,1746,28146
2020,44,30,1524,25331
2020,44,35,1153,21603
2020,44,40,1052,21215
2020,44,45,1200,23101
2020,44,50,1206,27453
2020,44,55,1109,24637
2020,44,60,681,16486
2020,44,65,451,10111
2020,44,70,350,8387
2020,44,75,310,9335
2020,44,80,316,10488
2020,44,85,165,7438
2020,44,90,118,5924
2020,45,0,523,6008
2020,45,5,627,6987
2020,45,10,1142,9726
2020,45,15,2067,17477
2020,45,20,2788,30170
2020,45,25,2687,30833
2020,45,30,2359,27690
2020,45,35,1826,23429
2020,45,40,1869,23084
2020,45,45,2038,25139
2020,45,50,2272,29725
2020,45,55,1870,26507
2020,45,60,1271,17757
2020,45,65,685,10796
2020,45,70,587,8974
2020,45,75,504,9839
2020,45,80,470,10958
2020,45,85,306,7744
2020,45,90,184,6108
2020,46,0,888,6896
2020,46,5,973,7960
2020,46,10,1652,11378
2020,46,15,2961,20438
2020,46,20,4384,34554
2020,46,25,4481,35314
2020,46,30,3858,31548
2020,46,35,3105,26534
2020,46,40,2905,25989
2020,46,45,3127,28266
2020,46,50,3577,33302
2020,46,55,2998,29505
2020,46,60,2120,19877
2020,46,65,1284,12080
2020,46,70,934,9908
2020,46,75,903,10742
2020,46,80,857,11815
2020,46,85,575,8319
2020,46,90,438,6546
2020,47,0,1456,8352
2020,47,5,1832,9792
2020,47,10,2739,14117
2020,47,15,4859,25297
2020,47,20,7554,42108
2020,47,25,7315,42629
2020,47,30,6715,38263
2020,47,35,5398,31932
2020,47,40,5301,31290
2020,47,45,5812,34078
2020,47,50,6420,39722
2020,47,55,5757,35262
2020,47,60,3960,23837
2020,47,65,2267,14347
2020,47,70,1799,11707
2020,47,75,1626,12368
2020,47,80,1837,13652
2020,47,85,1146,9465
2020,47,90,885,7431
2020,48,0,2235,10587
2020,48,5,2791,12583
2020,48,10,4086,18203
2020,48,15,7194,32491
2020,48,20,10423,52531
2020,48,25,10337,52966
2020,48,30,9578,47841
2020,48,35,8084,40016
2020,48,40,7878,39168
2020,48,45,8383,42461
2020,48,50,9774,49496
2020,48,55,8971,44233
2020,48,60,5996,29833
2020,48,65,3552,17899
2020,48,70,2882,14589
2020,48,75,2651,15019
2020,48,80,2838,16490
2020,48,85,1788,11253
2020,48,90,1466,8897
2020,49,0,2415,13002
2020,49,5,3363,15946
2020,49,10,4771,22974
2020,49,15,8410,40901
2020,49,20,11736,64267
2020,49,25,11155,64121
2020,49,30,10492,58333
2020,49,35,8958,48974
2020,49,40,8882,48050
2020,49,45,9480,51941
2020,49,50,10961,60457
2020,49,55,10170,54403
2020,49,60,6868,36701
2020,49,65,4258,22157
2020,49,70,3183,17772
2020,49,75,3051,18070
2020,49,80,3433,19923
2020,49,85,2290,13543
2020,49,90,1725,10622
2020,50,0,2420,15422
2020,50,5,3614,19560
2020,50,10,5336,28310
2020,50,15,8708,49609
2020,50,20,11035,75302
2020,50,25,10699,74820
2020,50,30,10485,68818
2020,50,35,9193,58167
2020,50,40,8989,57039
2020,50,45,9297,61238
2020,50,50,11008,71465
2020,50,55,10303,64706
2020,50,60,6913,43614
2020,50,65,4016,26173
2020,50,70,3301,21073
2020,50,75,3291,21361
2020,50,80,3807,23730
2020,50,85,2829,16372
2020,50,90,2318,12940
2020,51,0,2379,17801
2020,51,5,3918,23478
2020,51,10,5302,33612
2020,51,15,8206,57815
2020,51,20,10219,85521
2020,51,25,9935,84755
2020,51,30,10088,78906
2020,51,35,9207,67374
2020,51,40,9236,66275
2020,51,45,9681,70919
2020,51,50,10838,82303
2020,51,55,10242,74948
2020,51,60,7309,50923
2020,51,65,4152,30325
2020,51,70,3359,24432
2020,51,75,3386,24747
2020,51,80,4360,28090
2020,51,85,3373,19745
2020,51,90,3073,16013
2020,52,0,2327,20128
2020,52,5,3815,27293
2020,52,10,5193,38805
2020,52,15,7459,65274
2020,52,20,8946,94467
2020,52,25,9006,93761
2020,52,30,9378,88284
2020,52,35,8712,76086
2020,52,40,8809,75084
2020,52,45,9063,79982
2020,52,50,10343,92646
2020,52,55,9879,84827
2020,52,60,7001,57924
2020,52,65,4142,34467
2020,52,70,3198,27630
2020,52,75,3495,28242
2020,52,80,4780,32870
2020,52,85,4096,23841
2020,52,90,3514,19527
2020,53,0,2307,22435
2020,53,5,3682,30975
2020,53,10,5163,43968
2020,53,15,7728,73002
2020,53,20,9195,103662
2020,53,25,9149,102910
2020,53,30,9484,97768
2020,53,35,9138,85224
2020,53,40,8832,83916
2020,53,45,9240,89222
2020,53,50,10566,103212
2020,53,55,10367,95194
2020,53,60,7653,65577
2020,53,65,4126,38593
2020,53,70,3486,31116
2020,53,75,3977,32219
2020,53,80,5453,38323
2020,53,85,4598,28439
2020,53,90,4186,23713
2021,1,0,2666,25101
2021,1,5,4267,35242
2021,1,10,5698,49666
2021,1,15,8837,81839
2021,1,20,10800,114462
2021,1,25,10805,113715
2021,1,30,11533,109301
2021,1,35,11004,96228
2021,1,40,10904,94820
2021,1,45,11104,100326
2021,1,50,13263,116475
2021,1,55,13059,108253
2021,1,60,9437,75014
2021,1,65,5178,43771
2021,1,70,4390,35506
2021,1,75,4998,37217
2021,1,80,7091,45414
2021,1,85,5927,34366
2021,1,90,5412,29125
2021,2,0,3113,28214
