Date,Kw,WTag,Cases,Deaths
137,23,4,184924,8658
138,23,5,185450,8673
139,23,6,185750,8685
140,24,0,186109,8695
141,24,1,186506,8736
142,24,2,186522,8752
143,24,3,186691,8772
144,24,4,187226,8783
145,24,5,187267,8793
146,24,6,187518,8801
147,25,0,187682,8807
148,25,1,188252,8820
149,25,2,188604,8851
150,25,3,189817,8875
151,25,4,190299,8887
152,25,5,190670,8895
153,25,6,191272,8895
154,26,0,191768,8899
155,26,1,192480,8914
156,26,2,192871,8928
157,26,3,193371,8940
158,26,4,194036,8965
159,26,5,194458,8968
160,26,6,194693,8968
161,27,0,195042,8976
162,27,1,195418,8990
163,27,2,195893,8995
164,27,3,196370,9006
165,27,4,196780,9010
166,27,5,197198,9020
167,27,6,197523,9023
168,28,0,198064,9022
169,28,1,198343,9032
170,28,2,198699,9046
171,28,3,199001,9057
172,28,4,199332,9063
173,28,5,199709,9070
174,28,6,199919,9071
175,29,0,200180,9074
176,29,1,200456,9078
177,29,2,200890,9080
178,29,3,201450,9087
179,29,4,202045,9088
180,29,5,202426,9091
181,29,6,202735,9092
182,30,0,203325,9094
183,30,1,203717,9099
184,30,2,204276,9102
185,30,3,204881,9110
186,30,4,205623,9120
187,30,5,206278,9124
188,30,6,206667,9124
189,31,0,207112,9125
190,31,1,207707,9131
191,31,2,208546,9135
192,31,3,209535,9144
193,31,4,210399,9147
194,31,5,211005,9154
195,31,6,211220,9154
196,32,0,212111,9154
197,32,1,212828,9163
198,32,2,214113,9179
199,32,3,215039,9181
200,32,4,216196,9195
201,32,5,216903,9201
202,32,6,217288,9202
203,33,0,218508,9203
204,33,1,219540,9208
205,33,2,220859,9213
206,33,3,222281,9217
207,33,4,223791,9230
208,33,5,224488,9235
209,33,6,225007,9235
210,34,0,226700,9236
211,34,1,228120,9241
212,34,2,229706,9249
213,34,3,231292,9263
214,34,4,233029,9266
215,34,5,233861,9272
216,34,6,234494,9275
217,35,0,236122,9276
218,35,1,237583,9281
219,35,2,239010,9285
220,35,3,240571,9290
221,35,4,242126,9290
222,35,5,242835,9299
223,35,6,243305,9300
224,36,0,244802,9303
225,36,1,246015,9307
226,36,2,247411,9322
227,36,3,248840,9322
228,36,4,250283,9327
229,36,5,251058,9329
230,36,6,251728,9330
231,37,0,253626,9331
232,37,1,254957,9336
233,37,2,256433,9342
234,37,3,258149,9345
235,37,4,259735,9348
236,37,5,260817,9352
237,37,6,261737,9354
238,38,0,263222,9356
239,38,1,265014,9367
240,38,2,266869,9373
241,38,3,269048,9376
242,38,4,271247,9386
243,38,5,272932,9388
244,38,6,273965,9390
245,39,0,275560,9390
246,39,1,277412,9405
247,39,2,279025,9423
248,39,3,281346,9436
249,39,4,283712,9451
250,39,5,285026,9459
251,39,6,286339,9464
252,40,0,288631,9468
253,40,1,290471,9483
254,40,2,292913,9495
255,40,3,295539,9509
256,40,4,298374,9518
257,40,5,300027,9531
258,40,6,301573,9533
259,41,0,304673,9554
260,41,1,307127,9566
261,41,2,311137,9582
262,41,3,315941,9545
263,41,4,320495,9599
264,41,5,323463,9620
265,41,6,326309,9626
