"Geschlecht
Altersjahre","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"61",7176,7847,7855,8518,9369,9788,10072,10569,10238,10439,10450,9866,10230,10072,9582,8999,8273,8338,7845,7525,6722,4393,3992,3584,4125,6968,6854,6698,6201,5986,6084,6499,6826,7449,8030,7908,7538,6971,6404,7046,8284,7765,7515,7359,7838,7939,7143,6527,5518,5590,4712,3951,4958,5079,5436,5724,5627,5647,5652,5697,5676,5924,5992,5860
"62",7447,8116,8060,8565,9538,9789,10544,11143,11238,10996,11038,10919,11210,11256,10716,10044,9622,8926,8838,8712,8125,6933,4870,4213,3923,4458,7409,7296,7132,6483,6215,6502,6980,7170,7886,8501,8309,8096,7397,6980,7346,8325,8137,7819,7819,8020,8455,7713,6834,6027,5858,5024,4272,5208,5276,5626,5971,5943,6091,6144,6093,6160,6440,6345
"63",7718,8274,8217,8765,9700,9675,10618,11425,11740,12127,11788,11528,12325,12313,11571,11023,10571,10048,9390,9834,9240,8348,7824,5265,4418,4169,4685,7799,7914,7652,6944,6559,6914,7386,7794,8550,8794,8865,8470,7726,7502,7669,8585,8422,8319,8161,8612,8708,7901,7128,6221,6303,5364,4330,5595,5378,6036,6379,6248,6662,6479,6425,6729,6801
"64",8083,8598,8433,8707,9703,9844,10445,11607,11806,12464,12932,12397,12956,13589,12636,11988,11785,11420,10792,10275,9819,9671,8964,8037,5452,4698,4325,5039,8097,8180,7841,7176,6842,7260,7856,8249,8959,9487,9374,8949,8059,7536,7935,8835,8476,8595,8478,9067,8973,8297,7273,6561,6526,5647,4726,5765,6007,6526,6777,7014,7038,6839,7098,7099
"65",8816,9366,8818,9120,9969,9936,10762,11372,11869,12921,13162,13641,14004,14336,14312,13025,12857,12419,12033,11663,10904,10479,10283,9423,8444,5999,5017,4593,5253,8571,8642,8361,7681,7483,7995,8276,8428,9290,9898,9775,9406,8402,7851,8207,9477,8900,9116,9149,9400,9687,8678,7928,6838,6946,5883,4931,6165,6360,6812,7405,7468,7373,7393,7341
"66",9005,9927,9124,9406,10186,10155,10915,11478,11786,12871,13603,13975,15071,15424,14883,14567,13848,13328,13008,13113,12042,11127,11240,10835,10191,8985,6095,5227,4764,5597,8986,9046,8813,8122,7964,8417,8494,9276,9805,10260,10096,9327,8508,7990,8727,9586,9352,9669,9433,9677,9895,9273,8276,7123,7503,6210,5124,6574,6656,7384,7767,7698,8005,7909
"67",9606,9993,9720,9921,10202,10296,10711,11350,11699,12669,13460,14393,15517,16455,15911,14908,15268,14407,14180,14328,13562,12254,11754,11462,11515,10529,9472,6196,5468,5125,5646,9258,9561,9195,8663,8166,8558,9099,9478,10558,10731,10475,9728,8984,8568,8815,10382,10088,9640,9737,10043,10322,9385,8638,7741,7648,6361,5653,6716,7317,7967,8197,8382,8328
"68",10282,10633,9959,10226,10774,10427,11002,11358,11651,12729,13377,14273,15612,16713,16666,15884,15815,15968,15235,15205,14589,13490,13266,12449,12343,11805,11074,9935,6647,5702,5253,5873,9868,9875,9867,8930,8428,9205,9356,9810,10847,11086,10745,10288,9334,8698,9236,11029,10205,10137,10193,10448,10733,10216,9072,7994,8191,7121,5578,7430,7479,8441,8760,8788
"69",10576,11155,10442,10555,11184,10800,11000,11796,11512,12710,12976,13601,15418,16989,16721,16803,16734,16458,16397,16305,15523,14856,14452,13727,13068,12546,12284,11591,10035,6976,5892,5452,6201,10323,10647,10107,9253,8856,9393,10079,10100,10967,11332,11122,10195,9548,9018,9728,10776,10665,10380,10469,11069,11477,10651,9493,8418,8589,7005,6332,7898,8126,8848,9164
"70",10964,11649,11273,11109,11652,11106,11664,11893,11787,12456,13072,13452,14947,16307,16933,16843,17589,17094,16902,17452,16370,15799,15723,14963,14433,13281,13290,13070,11939,10594,7339,6204,5615,6471,11004,10903,10370,9693,9393,9794,10104,10402,11141,11690,11513,10742,9892,9447,10077,11297,10909,10909,10960,11720,12110,10971,9891,8913,8924,8068,6631,8199,8592,9313
"71",11361,12205,11245,11654,12159,11495,11825,12205,11751,12610,12795,13263,14902,16077,16361,16776,17422,18037,17273,17732,17532,16431,16378,15853,15417,14920,13991,13582,13346,12516,11131,7475,6396,5731,6935,11101,11146,11187,9987,9763,10265,10599,10833,11439,12113,11773,11201,10390,9375,10371,11754,11398,11296,11596,12273,12429,11568,10724,9242,9788,8292,7016,8913,9005
"72",11873,12573,11548,11916,12641,11657,11976,12524,12136,12530,12829,12993,14526,15729,15794,16164,17058,17702,18006,18588,17981,17512,17206,16643,16428,16034,15171,14147,14091,13821,12895,11331,7739,6515,6054,7045,11404,11828,11195,10574,9924,10363,10817,10934,11777,12083,12045,11909,10388,9908,10573,12183,11871,12026,12034,12584,13188,12448,10877,10054,10119,8695,7463,9102
