"Geschlecht
Altersjahre","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"73",11933,12502,12024,12238,12658,12109,12746,12723,12475,12913,12785,13094,14461,15094,15587,15543,16479,17229,17745,18942,18329,17926,18149,17220,17174,16643,16089,15460,14398,14325,14351,12904,11501,7964,6824,6160,7122,11908,11777,11844,10849,9950,10434,11017,11121,11900,12753,12614,11694,10689,10150,10890,12696,12421,12656,12343,13347,13995,12826,12060,10438,10888,9220,7660
"74",12356,12570,12196,12553,13143,12345,13105,12969,12456,13009,12999,12963,14203,14649,14715,15231,15986,16713,17538,18598,18737,17742,18303,17643,17764,17359,16846,16265,15237,15023,14708,14034,13143,11720,8103,6863,6269,7495,12009,12364,12086,10775,10224,10847,11242,11431,12528,13290,12631,11956,11246,10626,11666,13268,13252,12906,13064,14098,14198,13967,12365,10950,11567,9690
"75",12390,13023,12349,12280,13232,12384,13057,13299,12549,13141,13058,12871,13979,14618,14337,14394,15493,15784,16375,18109,18096,18055,18284,18084,18507,17741,17290,17128,16375,16083,14902,14867,14254,13407,11973,8344,7116,6576,7376,12424,12737,12190,11147,10404,10792,11305,11847,13096,13322,13028,12225,11709,11023,11903,13660,13623,13704,14015,14450,15792,14471,13217,11779,11843
"76",13042,12840,12385,12748,13193,12702,13288,13225,12936,13286,13059,13119,13970,14015,13859,13809,14287,15140,15473,16637,17220,16976,18606,18008,18186,18155,17714,17305,16636,16711,15833,14872,14795,14549,13824,12396,8427,7211,6454,7546,12502,12433,12180,11027,10316,10905,11714,12397,12915,13587,13310,12675,11994,11387,12379,14129,14045,14611,14482,15933,16112,15350,14097,12189
"77",13323,12913,12489,12385,13156,12351,12948,13332,12721,13496,12818,12876,14068,13751,13320,13635,13625,14320,14755,15744,16125,16167,17424,17687,17781,18115,18060,17398,16878,16858,16395,15433,14826,14787,14941,13773,12088,8420,7010,6768,7512,12544,12704,12292,11283,10770,11346,12302,12176,13550,13605,13501,13340,12627,11840,12892,14951,14988,14524,15627,16447,17171,16043,14542
"78",13049,13048,12538,12242,12846,12291,12757,12968,12524,12932,13284,12811,13760,13603,13177,12802,13297,13333,13634,14973,14910,15064,16418,16840,17523,17774,17346,17596,16737,16813,16489,15690,15488,14946,15012,14855,13550,12374,8317,7259,6553,7373,12426,12610,12341,11250,10904,11871,12127,12614,13553,14269,14243,13834,13052,12248,13124,15721,15084,15982,16416,17280,18119,16729
"79",12559,12566,12328,12102,12541,11777,12473,12662,12235,12628,12470,12554,13425,13148,12849,12662,12727,12817,12755,13778,13625,13830,15020,15772,16625,16980,16793,16939,17020,17027,16528,15826,15542,14997,14833,14717,14212,13755,12233,8451,7231,6515,7460,12452,12641,12158,11399,11167,11552,12443,12529,13673,14599,14403,14284,13239,12668,13937,15788,16441,16516,17078,18475,18721
"80",12063,12353,11910,12009,12197,11410,12087,12470,11539,12348,12103,12050,13233,12539,12144,12560,12009,12252,11965,12723,12810,12642,13752,14254,15301,15757,16138,16200,15976,16457,16023,15521,15403,15386,15290,14283,14080,14394,13493,12173,8460,7121,6374,7484,12094,12455,12461,11920,10775,11717,12326,13235,14389,15085,14810,13948,13632,13204,13810,17274,16755,17450,18152,18674
"81",11103,11297,11358,11469,11929,11206,11393,11585,11097,11643,11542,11454,12462,12206,11540,11532,11695,11737,11507,11995,11800,11576,12502,12706,13657,14500,14870,15693,15298,15821,15767,15157,15064,14946,15040,14452,13655,14061,13773,13471,12152,8155,6990,6478,7330,12210,12571,12553,11359,11039,11705,12893,13542,14700,15346,14848,14885,14122,13201,15198,17464,17771,18418,18479
"82",9986,10329,10548,10814,11438,10706,11054,10828,10205,10922,10849,11049,11817,11316,11331,11098,10707,11042,10492,10914,10709,10577,11050,11557,11985,12771,13417,14131,14089,14625,14811,14663,14302,14326,14370,14418,13570,13109,13467,13388,13077,11485,7892,6763,6306,6945,12100,12796,12079,11588,11104,11815,13008,13834,14565,15118,15479,15436,13962,14340,15348,18153,18612,18379
"83",8758,9076,9313,9822,10290,9747,10367,10140,9320,10196,10080,9857,11008,10606,10244,10375,10171,9997,10142,10073,9702,9579,9953,10170,10460,11140,11494,12460,12628,13477,13690,13420,13672,13566,13918,13653,12948,13152,12555,12808,12998,12251,11122,7840,6679,5850,7069,12144,12175,12247,11327,10996,11949,12958,13522,14476,15583,16046,14966,14925,14209,15683,18563,18531
"84",6963,7615,8134,8467,9444,8928,9530,9312,8613,9100,9126,9093,9696,9622,9313,9421,9457,9280,9132,9586,9025,8494,9037,8863,9230,9871,10239,10752,11056,11811,12237,12018,12355,12697,12720,12702,12176,12601,12123,12021,12235,11943,11711,10704,7333,6164,5916,6878,11175,12077,11981,10987,10909,12129,13026,13308,14738,15894,15309,15767,14610,14564,16280,18705
"85",5965,6224,6945,7118,7799,7800,8289,8458,7865,8344,7948,8286,8967,8427,8262,8400,8224,8423,8200,8261,8137,7633,7862,7993,8044,8428,8642,8994,9447,10188,10531,10784,11112,11495,11863,11712,11311,11715,11505,11248,11405,11356,11435,11001,9899,6825,6161,5586,6321,11113,11354,11349,11266,11065,11707,12477,13381,14933,15142,16156,15252,15114,14651,15878
"86",5394,5061,5228,5835,6630,6365,7231,7393,6846,7250,7188,6987,7862,7453,7112,7348,7182,7330,7243,7442,7060,6896,7097,6762,7105,7161,7321,7696,7798,8546,9092,9258,9618,10030,10390,10533,10014,10611,10665,10462,10489,10122,10444,10565,10286,9356,6543,5907,5252,6117,10317,11247,11397,10733,10521,11449,12652,13375,14052,15763,15269,15311,14923,14391
"87",4176,4513,4200,4525,5427,5413,5989,6227,5664,6330,5973,6017,6521,6269,6227,6180,6243,6284,6037,6689,6278,5929,6163,6017,5988,6262,6199,6428,6531,7081,7510,7682,7948,8687,8991,9110,8983,9333,9228,9426,9627,9183,9403,9517,9714,9461,8807,6276,5241,4920,5534,10025,10418,11047,10346,9891,11125,12361,12410,14172,14874,15056,14949,13970
"88",3133,3320,3629,3546,3965,4097,4814,4947,4828,5108,5216,5174,5692,5312,5335,5245,5125,5345,5351,5319,5415,4980,4920,5100,5125,5120,4932,5235,5323,5836,5977,6300,6710,7111,7590,7789,7617,8042,7952,8346,8279,8345,8371,8191,8549,8646,8852,8295,5407,4851,4579,5369,9266,9969,10163,9460,9515,10731,11087,12582,13398,14426,14726,14322
"89",2449,2543,2608,2860,3056,3044,3560,3762,3591,4159,4187,4170,4633,4316,4277,4218,4320,4301,4298,4355,4329,4163,4208,4146,4209,4330,4204,4253,4366,4517,4684,4832,5104,5738,6031,6359,6223,6693,6933,7049,7286,7260,7411,7471,7370,7489,7835,8009,6861,5122,4385,4065,5023,8633,9099,9293,8915,9089,9471,10876,11448,12767,13728,13436
"90",1799,1957,1871,2124,2500,2170,2551,2880,2683,3290,3205,3446,3576,3626,3384,3523,3397,3497,3449,3647,3615,3350,3562,3370,3450,3565,3399,3584,3453,3600,3733,3843,4125,4540,4855,5022,5303,5585,5554,6002,5956,6006,6199,6466,6406,6220,6649,7185,6638,6264,4454,3937,3814,4394,7683,8067,8381,8274,7765,9277,9735,10886,11749,12244
"91",1269,1304,1382,1489,1707,1750,1875,1949,2093,2328,2420,2684,2855,2749,2667,2678,2631,2714,2711,2874,2867,2605,2790,2792,2743,2751,2790,2678,2776,2907,2874,2934,3092,3363,3607,3808,3962,4439,4425,4690,4791,4885,5128,5174,5369,5422,5607,5994,5857,5998,5496,3939,3509,3447,3996,6886,7382,7788,7210,7644,8017,9008,9569,10224
"92",892,935,959,1078,1163,1127,1384,1312,1323,1697,1732,1753,2090,2094,2052,2104,2068,2046,2043,2151,2025,2021,2140,2134,2087,2206,2106,2290,2148,2222,2143,2212,2320,2534,2675,2913,2965,3241,3541,3602,3835,3836,4095,4072,4257,4300,4561,4708,4702,4897,4930,4639,3445,3089,2867,3293,6095,6462,6523,6554,6363,7460,8147,8315
"93",561,648,657,673,877,765,892,994,886,1143,1129,1286,1518,1479,1444,1450,1479,1505,1481,1486,1513,1480,1634,1583,1600,1696,1602,1685,1635,1739,1765,1679,1756,1874,2007,2076,2207,2480,2517,2765,2823,2919,3043,3170,3236,3245,3609,3771,3615,3889,3971,4089,3904,2847,2482,2322,2802,5041,5262,5666,5226,5442,6245,6559
"94",341,358,396,440,526,455,527,590,685,703,799,850,1001,1017,1040,1022,1075,1092,1061,1084,1107,1089,1131,1078,1129,1144,1154,1182,1172,1285,1269,1202,1221,1302,1442,1468,1547,1731,1788,1999,2122,2189,2260,2446,2442,2574,2673,2765,2733,2800,3101,3357,3364,3153,2295,1962,1892,2188,3940,4514,4557,4488,4584,4940
"95",218,240,255,277,342,355,352,428,397,471,470,499,675,610,665,725,727,774,735,801,767,730,740,769,812,862,878,832,863,828,861,841,881,944,1001,1024,1045,1147,1226,1345,1445,1563,1563,1635,1731,1906,2037,2025,2061,2297,2168,2512,2664,2733,2447,1731,1581,1553,1802,3280,3377,3564,3655,3381
"96",137,144,152,187,197,213,221,236,235,281,317,320,340,395,411,427,445,513,512,527,508,483,516,469,503,537,542,578,551,599,597,579,602,657,710,650,685,806,813,914,966,1042,1111,1149,1260,1305,1315,1478,1514,1552,1653,1623,1885,1995,1897,1846,1388,1180,1176,1403,2527,2721,2758,2699
"97",74,94,83,105,104,116,146,146,136,136,184,190,210,208,229,270,300,318,294,342,333,306,338,324,358,351,345,376,343,404,359,385,399,452,474,473,434,478,508,573,592,698,701,911,825,863,905,982,983,1093,1102,1160,1219,1334,1456,1428,1352,997,845,808,1076,1855,1986,2021
"98",38,46,33,56,58,66,73,75,81,94,117,108,123,126,139,152,174,180,161,211,208,211,253,202,221,210,228,233,245,256,245,256,257,270,307,272,324,322,331,346,352,426,425,465,484,555,596,659,625,738,753,794,844,860,948,931,1000,1021,710,614,579,729,1295,1340
"99",20,21,36,47,54,50,60,52,54,60,61,86,79,111,77,100,104,101,123,136,135,121,126,132,179,155,191,169,158,143,176,171,174,204,245,243,206,216,228,236,273,247,301,307,326,327,341,372,387,458,486,517,521,598,549,612,647,689,575,476,403,419,465,831
"100",18,27,31,23,33,37,38,41,45,42,62,62,89,67,62,83,97,111,119,150,130,116,153,183,167,213,187,202,225,209,262,247,249,290,341,336,293,337,331,334,334,347,395,404,426,457,454,514,487,569,592,670,762,823,829,846,886,1066,1006,1082,907,846,747,708
"unbekannt",24,26,13,7,6,9,16,23,12,20,8,7,6,4,8,11,5,10,11,14,10,4,7,6,5,4,10,9,7,3,"-","-","-","-",3,"-","-","-",2,"-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-","-","-","-","-","-","-","-","-","-","-"
