CountryCode,Sex,Altersgruppe,Bis,Todesfall
752,B,0,9,9
752,B,10,19,6
752,B,20,29,23
752,B,30,39,47
752,B,40,49,115
752,B,50,59,373
752,B,60,69,1028
752,B,70,79,3277
752,B,80,89,5965
752,B,90,100,3803
