CountryCode,Sex,Altersgruppe,Bis,Anzahl
840,B,0,4,151
840,B,5,17,300
840,B,18,29,2531
840,B,30,39,5830
840,B,40,49,14253
840,B,50,64,72592
840,B,65,74,103451
840,B,75,84,131716
840,B,85,100,149371
