CountryCode,Sex,Altersgruppe,Bis,Todesfall
380,F,0,9,7
380,F,10,19,8
380,F,20,29,24
380,F,30,39,94
380,F,40,49,334
380,F,50,59,1258
380,F,60,69,3587
380,F,70,79,10310
380,F,80,89,23325
380,F,90,100,16042
380,M,0,9,6
380,M,10,19,9
380,M,20,29,44
380,M,30,39,159
380,M,40,49,787
380,M,50,59,3225
380,M,60,69,9454
380,M,70,79,21623
380,M,80,89,27746
380,M,90,100,8469
